title,organization,opportunity_type,category,country,location,work_mode,compensation,posted_date,deadline,source,source_url,summary
Clinical Project Manager II,ClinChoice,Remote work opportunities,Health,United States,USA,Remote,Not specified,2026-07-20,,Jobicy,https://jobicy.com/jobs/149469-clinical-project-manager-ii,"Clinical Project Manager II is an opportunity with ClinChoice. <p>ClinChoice is a global full-service CRO committed to professional growth and a quality-driven “one-team” culture. We are seeking a Clinical Project Manager II to join our in-house team and support projects across a diverse client portfolio, including pharmaceutical, biotechnology, medical device, and consumer health companies of varying sizes.</p><p>In this..."
Senior Business Process Analyst - Electronic Health Records,General Dynamics Information Technology,Remote work opportunities,Health,United States,USA,Remote,Not specified,2026-07-20,,Jobicy,https://jobicy.com/jobs/149473-senior-business-process-analyst-electronic-health-records,Senior Business Process Analyst - Electronic Health Records is an opportunity with General Dynamics Information Technology. <p><b><u>Type of Requisition:</u></b></p><p>Regular</p><p></p><p></p><p><u><b>Clearance Level Must Currently Possess:</b></u></p><p>None</p><p></p><p></p><p><u><b>Clearance Level Must Be Able to Obtain:</b></u></p><p>None</p><p></p><p></p><p><b><u>Public Trust/Other Required:</u></b></p><p>SSBI...
"Solutions Architect, Scaled Operations AI Accelerator Team",Meta,Remote work opportunities,Information Technology,United States,USA,Remote,Not specified,2026-07-20,,Jobicy,https://jobicy.com/jobs/144481-solutions-architect-scaled-operations-ai-accelerator-team,"Solutions Architect, Scaled Operations AI Accelerator Team is an opportunity with Meta. <p>The Scaled Operations organization in Meta is responsible for delivering global scaled human operations to power Meta company priorities. Meta is seeking a highly skilled Automation Solutions Architect to join the Scaled Operations AI Accelerator Team. This small, entrepreneurial team is responsible for designing, developing, and..."
"Director, AI Commerce Analytics (USA Based Remote)",NielsenIQ,Remote work opportunities,Information Technology,United States,USA,Remote,Not specified,2026-07-20,,Jobicy,https://jobicy.com/jobs/149463-director-ai-commerce-analytics-usa-based-remote,"Director, AI Commerce Analytics (USA Based Remote) is an opportunity with NielsenIQ. <h2>Company Description</h2><p>The Director, Product, AI Commerce Analytics & Data Strategy owns the AI and data strategy and the supporting architecture for NIQ's AI Commerce partnerships and AI-driven product operations. The role initiates the approaches, methodologies, and standards that other teams then execute and operate, and is..."
"Director, Global Marketing (Digital Solutions)",Otis Elevator Co.,Remote work opportunities,Information Technology,United States,USA,Remote,Not specified,2026-07-20,2026-07-17,Jobicy,https://jobicy.com/jobs/149470-director-global-marketing-digital-solutions,"Director, Global Marketing (Digital Solutions) is an opportunity with Otis Elevator Co.. <p><b>Date Posted:</b></p><p>2026-07-17</p><p><b>Country: </b></p><p>United States of America</p><p><b>Location: </b></p><p>OTCTH: Connecticut Home Offices Remote Location, Remote City, CT, 06032 USA</p><div><div><p><b>Director, Global Marketing (Digital Solutions) </b> </p></div><div><p><b>Location:</b> US (Flexible) <br><b>Reports..."
"Communications and Change Lead, Global Trade Service",TE Connectivity,Remote work opportunities,Education,United States,USA,Remote,Not specified,2026-07-20,,Jobicy,https://jobicy.com/jobs/149465-communications-and-change-lead-global-trade-service,"Communications and Change Lead, Global Trade Service is an opportunity with TE Connectivity. <p><strong>At TE, you will unleash your potential working with people from diverse backgrounds and industries to create a safer, sustainable and more connected world. </strong></p><p></p><div><div><div><h2><b>Job Overview</b></h2> </div><div><div> <p><em><strong>Title</strong></em></p> <p>Communications and Change Lead (Global..."
"Executive Director, Biotech Client Experience (Onboarding & Enablement) US",Thermo Fisher Scientific,Remote work opportunities,Agriculture,United States,USA,Remote,Not specified,2026-07-20,,Jobicy,https://jobicy.com/jobs/149472-executive-director-biotech-client-experience-onboarding-enablement-us,"Executive Director, Biotech Client Experience (Onboarding & Enablement) US is an opportunity with Thermo Fisher Scientific. <p><u><b>Work Schedule</b></u></p><p>Standard (Mon-Fri)</p><p></p><p><u><b>Environmental Conditions</b></u></p><p>Office</p><p></p><p><b><u>Job Description</u></b></p><p></p><p>The Executive Director, Biotech Client Experience & Onboarding provides <b>enterprise-level leadership</b> for the Client..."
Sr Data Reviewer - Small Molecule,Thermo Fisher Scientific,Remote work opportunities,Health,United States,USA,Remote,Not specified,2026-07-20,,Jobicy,https://jobicy.com/jobs/149474-sr-data-reviewer-small-molecule,"Sr Data Reviewer - Small Molecule is an opportunity with Thermo Fisher Scientific. <p><b>Work Schedule</b></p><p>Standard (Mon-Fri)</p><p></p><p><b>Environmental Conditions</b></p><p>Adherence to all Good Manufacturing Practices (GMP) Safety Standards</p><p></p><p><b><u>Job Description</u></b></p><p></p><p>This is a fully remote role supporting our GMP Laboratory in Middleton, WI. We welcome applications from all locations..."
Territory Sales Representative,dormakaba,Remote work opportunities,Education,United States,USA,Remote,Not specified,2026-07-20,,Jobicy,https://jobicy.com/jobs/149464-territory-sales-representative,"Territory Sales Representative is an opportunity with dormakaba. <h2>Position Overview</h2><p> </p><p>dormakaba is seeking a driven and customer-focused Territory Sales Representative to support growth and profitability across the Northeast Territory for our dormakaba business groups, including Avant Garde and Alvarado. This outside sales role will focus on developing and executing sales strategies across B2B and B2C..."
"Fishery Analyst and/or Economist, North Pacific Fishery Management Council",Association of Environmental and Resource Economists,Jobs,Agriculture,United States,"Anchorage, Alaska, United States",On-site,Not specified,2026-07-20,2026-07-22,LinkedIn social search,https://www.linkedin.com/jobs/view/fishery-analyst-and-or-economist-north-pacific-fishery-management-council-at-association-of-environmental-and-resource-economists-4431941124,"Fishery Analyst and/or Economist, North Pacific Fishery Management Council is an opportunity with Association of Environmental and Resource Economists. Fishery analyst/economist role supporting fisheries management analysis for the North Pacific Fishery Management Council."
"CURRICULUM SPECIALIST, WORLD LANGUAGES",Denver Public Schools,Jobs,Education,United States,"Denver, Colorado, United States",On-site,Not specified,2026-07-20,2026-07-22,LinkedIn social search,https://www.linkedin.com/jobs/view/curriculum-specialist-world-languages-at-denver-public-schools-4433121693,"CURRICULUM SPECIALIST, WORLD LANGUAGES is an opportunity with Denver Public Schools. Curriculum specialist role supporting high-quality instructional resources and world language teaching and learning programmes."
Product Manager,360Dialog,Remote work opportunities,Information Technology,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-product-manager-360dialog-1135112,Product Manager is an opportunity with 360Dialog. About Us360dialog is the leading Whatsapp platform for Independent Software Providers. We areâ¦<br/><br/>Please mention the word **EXCITING** and tag RNDEuMTkwLjE0Mi4xNDY= when applying to show you read the job post completely (#RNDEuMTkwLjE0Mi4xNDY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and...
General Labour,Aecon Group Inc.,Remote work opportunities,Business & Finance,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-general-labour-aecon-group-inc-1135105,"General Labour is an opportunity with Aecon Group Inc.. <strong>Come Build Your Career at Aecon!<br><br></strong>Aecon delivers some of the most complex and impactful infrastructure projects â from transformative transportation networks to critical energy, industrial and nuclear programs. The projects we build connect communities and power future generations. With deep roots in North America and a strong footprint..."
Storekeeper,Aecon Group Inc.,Remote work opportunities,Business & Finance,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-storekeeper-aecon-group-inc-1135106,"Storekeeper is an opportunity with Aecon Group Inc.. <strong>Come Build Your Career at Aecon!<br><br></strong>Aecon delivers some of the most complex and impactful infrastructure projects â from transformative transportation networks to critical energy, industrial and nuclear programs. The projects we build connect communities and power future generations. With deep roots in North America and a strong footprint..."
Head of People,Bizee,Remote work opportunities,Information Technology,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-head-of-people-bizee-1135129,"Head of People is an opportunity with Bizee. <strong>About Bizee<br><br></strong>Bizee has helped nearly two million entrepreneurs start and run their businesses. Now we are building what comes next: an AI-powered Entrepreneur Operating System that helps founders launch, operate, stay compliant, and grow with less friction and more confidence.<br><br>We are profitable, founder-led, and operating at a clear inflection..."
Head of Marketing Fragrance & Beauty,CHANEL,Remote work opportunities,Information Technology,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-head-of-marketing-fragrance-amp-beauty-chanel-1135134,"Head of Marketing Fragrance & Beauty is an opportunity with CHANEL. At Chanel, we are focused on creating an inclusive culture that nurtures personal growth, contributing to collective progress. We believe the uniqueness of each individual increases the diversity, complementarity and effectiveness of our teams. We strongly encourage your application, as we value the perspective, experience and potential you could bring to..."
Freelance Illustrator,Control Shift Video,Remote work opportunities,Health,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-freelance-illustrator-control-shift-video-1135110,"Freelance Illustrator is an opportunity with Control Shift Video. <strong>Job Description And Requirements<br><br></strong><em>Project-based | Remote | Contract<br><br></em>Control Shift Video is looking for a freliable, detail-oriented freelance illustrator to collaborate with our core team on a variety of projects. Our work spans technology, healthcare, energy, consumer brands, and nonprofits â and weâre always..."
Freelance Video Editer,Control Shift Video,Remote work opportunities,Communications,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-freelance-video-editer-control-shift-video-1135128,"Freelance Video Editer is an opportunity with Control Shift Video. <strong>Job Description And Requirements<br><br></strong><em>Project-based | Remote | Contract<br><br></em>Weâre seeking a <strong>freelance video editor</strong> to support a range of projects, including brand videos, explainers, interviews, social content, and campaigns.<br><br><br><br><strong>What Youâll Do<br><br></strong><ul><li>Edit video content..."
Don't see an open position you'd like fill,"DBOS, Inc.",Remote work opportunities,Operations & Logistics,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-dont-see-an-open-position-youd-like-fill-dbos-inc-1135102,"Don't see an open position you'd like fill is an opportunity with DBOS, Inc.. Please submit your resume and tell us about your dream role at DBOS!<br><br>If we start hiring for that role in the future, we will reach out to you.<br><br>Some of the technologies we use at DBOS include Python, TypeScript, Go, Java, PostgreSQL, AWS.<br><br>We are a fully distributed team, with most of us located in the US.<br><br>We look..."
Test ABC,Expeditors,Remote work opportunities,Business & Finance,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-test-abc-expeditors-1135138,"Test ABC is an opportunity with Expeditors. âWeâre not in the shipping business; weâre in the information businessâ -Peter Rose, Expeditors Founder<br><br>Global supply chain management is what we do, but at the heart of Expeditors you will find professionalism, leadership, and a friendly environment, all of which foster an innovative, customer service-based approach to logistics.<br><br><ul><li>19,000 trained..."
Dream Job,Freestar,Remote work opportunities,Information Technology,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-dream-job-freestar-1135119,"Dream Job is an opportunity with Freestar. <strong>About Freestar<br><br></strong>Freestar engineers cutting-edge monetization solutions for websites. By combining industry-leading technology, data, and massive scale, we enable busy site owners to seamlessly maximize revenue while freeing themselves of the hassles of ad operations. Publishers then have more time to do what they do best: create content.<br><br>Freestar Is..."
Project Management Officer,Glints,Remote work opportunities,Business & Finance,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-project-management-officer-glints-1135185,"Project Management Officer is an opportunity with Glints. <p><strong>Project Objectives: </strong>Support the IT Portfolio Governance function by ensuring projects are delivered on schedule, within budget, and in accordance with governance standards. The role is responsible for coordinating project governance activities, monitoring project costs and benefits, maintaining project documentation, and facilitating..."
Creator Manager,Grail Talent,Remote work opportunities,Information Technology,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-creator-manager-grail-talent-1135172,"Creator Manager is an opportunity with Grail Talent. <p><strong>Fully Remote - </strong>Work from anywhere ð</p><p><strong>Flexible hours - </strong>Choose your own schedule â°</p><p><strong>No Base Salary - </strong>Uncapped commission means unlimited earning potential! ð¸</p><p>We're looking for the best managers the UK has to offer! If you like the idea of taking control of your earnings, keep..."
Open sollicitatie,Hibernis,Remote work opportunities,Operations & Logistics,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-open-sollicitatie-hibernis-1135101,"Open sollicitatie is an opportunity with Hibernis. Geen vacature gevonden die bij jou past, maar wel enthousiast over wat we bij Hibernis doen? Misschien past jouw talent precies bij een project dat nog in ontwikkeling is. Deel gerust je motivatiebrief en CV, wie weet start je binnenkort met een unieke uitdaging!<br><br>Referentiecheck en VOG-aanlevering maken deel uit van de procedure.<br/><br/>Please mention the word..."
Social Media Content Creator,Hic,Remote work opportunities,Communications,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-social-media-content-creator-hic-1135116,"Social Media Content Creator is an opportunity with Hic. <p><strong>Company Description</strong></p><p><br></p><p>Here's the problem we're obsessed with: when you want to do something in your free time, you open TikTok or you ask ChatGPT and both send you to the exact same place as everyone else. The same viral pasta spot, the same rooftop, the same top-10 list. The algorithm flattens a whole city into five places and..."
Testing Recommendation Step,Jacobs,Remote work opportunities,Health,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-testing-recommendation-step-jacobs-1135130,"Testing Recommendation Step is an opportunity with Jacobs. At Jacobs, we're challenging today to reinvent tomorrow by solving the world's most critical problems for thriving cities, resilient environments, mission-critical outcomes, operational advancement, scientific discovery and cutting-edge manufacturing, turning abstract ideas into realities that transform the world for good.<br><br>Your..."
I will create chrome extension for you,Kennflik,Remote work opportunities,Business & Finance,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-i-will-create-chrome-extension-for-you-kennflik-1135121,I will create chrome extension for you is an opportunity with Kennflik. Detail-oriented email marketing professional with a proven track record of strategically growing and managing high-quality email lists. Seeking to leverage my expertise in email list building to...<br/><br/>Please mention the word **INCREDIBLY** and tag RNDEuMTkwLjE0Mi4xNDY= when applying to show you read the job post completely...
Freelance Creative Operations Coordinator,Klick,Remote work opportunities,Health,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-freelance-creative-operations-coordinator-klick-1135143,"Freelance Creative Operations Coordinator is an opportunity with Klick. <strong>The Klick Group</strong>âcomprising Klick Health (including Klick Katalyst and btwelve), Klick Media Group, Klick Applied Sciences (including Klick Labs), Klick Consulting, and Klick Venturesâis an ecosystem dedicated to realizing the full potential of our people and clients in life sciences. Founded in 1997, we have offices in New York..."
Representante de Vendas Educacionais,Kodland,Remote work opportunities,Business & Finance,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-representante-de-vendas-educacionais-kodland-1135076,Representante de Vendas Educacionais is an opportunity with Kodland. Anunciada 18:30:41. ð Seja um HerÃ³i da EducaÃ§Ã£o e Conquiste sua Liberdade Financeira na Kodland! ðA Kodland Ã© umaâ¦ - veja esta vaga e outras semelhantes no LinkedIn.<br/><br/>Please mention the word **REVIVES** and tag RNDEuMTkwLjE0Mi4xNDY= when applying to show you read the job post completely (#RNDEuMTkwLjE0Mi4xNDY=). This is a beta feature...
Dietician,MantraCare,Remote work opportunities,Health,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-dietician-mantracare-1135113,Dietician is an opportunity with MantraCare. The Role Job Title: Dietician / Nutritionist Location: Remote (Part-Time / Freelance) Role Overview Weâ¦.<br/><br/>Please mention the word **SURPASS** and tag RNDEuMTkwLjE0Mi4xNDY= when applying to show you read the job post completely (#RNDEuMTkwLjE0Mi4xNDY=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this...
MyBuilder,Mr Pape,Tenders / Consultancies,Information Technology,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-mybuilder-mr-pape-1135122,"MyBuilder is an opportunity with Mr Pape. Video Player<br><br>If you are reading this, it is because your browser does not support the HTML5 video element.<br><br>00:00<br><br>00:00<br><br>00:00<br><br>Use Up/Down Arrow keys to increase or decrease volume.<br><br>Brand: MYBUILDER<br><br>Campaign: Not Just Any Builder<br><br>Agency: Wieden + Kennedy<br><br>Service provided: Music Supervision / Re-record<br><br>Selected..."
Uber Eats,Mr Pape,Tenders / Consultancies,Information Technology,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-uber-eats-mr-pape-1135082,"Uber Eats is an opportunity with Mr Pape. Video Player<br><br>If you are reading this, it is because your browser does not support the HTML5 video element.<br><br>00:00<br><br>00:00<br><br>00:00<br><br>Use Up/Down Arrow keys to increase or decrease volume.<br><br>Brand: UBER EATS<br><br>Campaign: Evil'd Enough<br><br>Agency: Mother<br><br>Service provided: Music Supervision<br><br>Selected Works<br><br>KFCSurrender To..."
Customer Support,Re Lytics HR,Remote work opportunities,Communications,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-customer-support-re-lytics-hr-1135183,"Customer Support is an opportunity with Re Lytics HR. <p><strong>Customer Support Specialist (Arabic) | Remote</strong></p> <p>Â </p> <p>We are actively seeking a detail-oriented <strong>Remote Customer Support (Arabic) Specialist</strong> to join our team. In this role, you will be responsible for delivering professional and timely support to Arabic-speaking customers through various communication channels.</p> <p>You..."
Entry Level Administrative Assistant,Re Lytics HR,Remote work opportunities,Information Technology,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-entry-level-administrative-assistant-re-lytics-hr-1135111,"Entry Level Administrative Assistant is an opportunity with Re Lytics HR. <p>Our fast-growing company is seeking a dedicated <strong>Entry-Level Administrative Assistant</strong> to support the smooth operation of our daily business activities. In this role, you will assist with organizing, updating, and maintaining accurate company records and databases while ensuring information is handled efficiently and correctly.</p>..."
Manufacturing,"STAFFEASE, INC.",Remote work opportunities,Operations & Logistics,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-manufacturing-staffease-inc-1135153,"Manufacturing is an opportunity with STAFFEASE, INC.. Warehouse positions are crucial to our supply chain and making sure consumers have access to the goods they need. Warehouse positions are physically demanding and fast paced, but that is what our associates love about it! These positions are also extremely important because production counts on warehouse workers showing up, if shifts are missed products donât go out..."
Analista CobranÃ§a Jr Remoto,SuperlÃ³gica Tecnologias,Remote work opportunities,Operations & Logistics,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-analista-cobranca-jr-remoto-superlogica-tecnologias-1135077,Analista CobranÃ§a Jr Remoto is an opportunity with SuperlÃ³gica Tecnologias. Analista de CobranÃ§a JuniorOs profissionais da Ã¡rea de cobranÃ§a sÃ£o responsÃ¡veis por transformarâ¦<br/><br/>Please mention the word **CHEAPER** and tag RNDEuMTkwLjE0Mi4xNDY= when applying to show you read the job post completely (#RNDEuMTkwLjE0Mi4xNDY=). This is a beta feature to avoid spam applicants. Companies can search these words to...
Finance & HR Specialist,TechHuman,Remote work opportunities,Information Technology,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-finance-amp-hr-specialist-techhuman-1135108,"Finance & HR Specialist is an opportunity with TechHuman. <p><strong>Job Summary:</strong></p><p>The Finance & HR Specialist serves as a key member of the Business Operations team, owning the day-to-day financial, payroll, and people operations functions of the organization. This role is responsible for ensuring accuracy, organization, and efficiency across invoicing, billing quality control, employee and contractor..."
Handyman,The Construction Index Ltd,Remote work opportunities,Communications,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-handyman-the-construction-index-ltd-1135120,"Handyman is an opportunity with The Construction Index Ltd. <ul><li>Salary: Â£22 - Â£24 per hour</li><li>Type: Full Time</li><li>Region: UK - South West</li><li>Town/City: Weymouth, Dorset</li><li>Posted: 20/07/2026</li><li>Listed in: General Trades</li><li>Reference: HMWYMTH001_1784560977<br><br></li></ul><strong>APPLY Job Description<br><br></strong><strong>Handyman Required - Weymouth | Immediate..."
Programa de EstÃ¡gio Banco B3,Universia Brasil,Remote work opportunities,Information Technology,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-programa-de-estagio-banco-b3-universia-brasil-1135125,"Programa de EstÃ¡gio Banco B3 is an opportunity with Universia Brasil. <strong>NÃ³s somos a bolsa de valores do Brasil!<br><br></strong>Atuamos como ponte entre negÃ³cios e investidores, inovamos em produtos de investimento e tecnologia e estamos entre as maiores empresas em valor de mercado, com posiÃ§Ã£o de destaque global no setor.<br><br><strong>Desafios que Impulsionam<br><br></strong>O aprendizado Ã© constante, cheio..."
Docente Doctor a Online en InvestigaciÃ³n Educativa,Universidad Europea,Remote work opportunities,Operations & Logistics,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-docente-doctor-a-online-en-investigacion-educativa-universidad-europea-1135114,"Docente Doctor a Online en InvestigaciÃ³n Educativa is an opportunity with Universidad Europea. <strong>Job Description<br><br></strong>Â¿Te apasiona la docencia en el <strong>Ã¡rea de EducaciÃ³n</strong>? Â¿Te gustarÃ­a poder incorporarte a una Universidad con grandes oportunidades de desarrollo de la actividad de investigaciÃ³n y plan de carrera profesional hecho a medida? Si tu respuesta es afirmativa, Â¡esta es tu..."
Human Resources Generalist,Wheeler Staffing Partners,Remote work opportunities,Operations & Logistics,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-human-resources-generalist-wheeler-staffing-partners-1135109,Human Resources Generalist is an opportunity with Wheeler Staffing Partners. Posted 4:30:05 PM. Human Resources GeneralistLocation: Fully Remote (U.S.)Employment Type: Direct Hire | Full-TimeWorkâ¦See this and similar jobs on LinkedIn.<br/><br/>Please mention the word **WARMHEARTED** and tag RNDEuMTkwLjE0Mi4xNDY= when applying to show you read the job post completely (#RNDEuMTkwLjE0Mi4xNDY=). This is a beta feature to...
Logistics & Supply Chain Management Expert,YO HR Consultancy,Tenders / Consultancies,Operations & Logistics,Remote,Remote,Remote,Not specified,2026-07-20,,RemoteOK,https://remoteOK.com/remote-jobs/remote-logistics-supply-chain-management-expert-yo-hr-consultancy-1135104,Logistics & Supply Chain Management Expert is an opportunity with YO HR Consultancy. Job Title: Logistics & Supply Chain Management Expert Job Type: Contractor Location: Remote<br/><br/>Please mention the word **ADMIRABLY** and tag RNDEuMTkwLjE0Mi4xNDY= when applying to show you read the job post completely (#RNDEuMTkwLjE0Mi4xNDY=). This is a beta feature to avoid spam applicants. Companies can search these words to find...
