id,name,url,source_group,opportunity_types,countries_covered,sectors,access_method,automation_priority,review_frequency,notes
yc-work-at-startup,Y Combinator Work at a Startup,https://www.ycombinator.com/jobs,Startup job board,Jobs; Internships; Remote work,Global,Startups; Technology,Manual/editorial,Medium,Weekly,High-quality startup roles.
unjobs,UNjobs,https://unjobs.org/,International organizations aggregator,Jobs; Internships; Consultancies,Global,UN; NGOs; Development; Humanitarian,Search/RSS/manual,High,Daily,Excellent aggregator for UN and international organization vacancies.
reliefweb-jobs,ReliefWeb Jobs,https://reliefweb.int/jobs,Humanitarian job board,Jobs; Consultancies; Volunteer opportunities,Global,Humanitarian; Development; NGO,API/RSS/manual,High,Daily,Major humanitarian jobs source; strong automation candidate.
reliefweb-training,ReliefWeb Training,https://reliefweb.int/training,Training board,Training / short courses,Global,Humanitarian; Development,API/RSS/manual,High,Daily,Useful for training and short-course category.
devex-jobs,Devex Jobs,https://www.devex.com/jobs,Development job board,Jobs; Internships; Consultancies,Global,Development; Aid; Global health; NGOs,Manual/editorial,High,Daily,Strong professional development sector source.
impactpool,Impactpool,https://www.impactpool.org/jobs,International career platform,Jobs; Internships; Consultancies,Global,UN; NGOs; International organizations,Manual/editorial,High,Daily,Strong source for international organizations.
developmentaid,DevelopmentAid Jobs,https://www.developmentaid.org/jobs,Development job board,Jobs; Consultancies; Tenders,Global,Development; Consulting; NGOs,Manual/editorial,Medium,Daily,Good source for development jobs and tenders; some content may require account.
devnetjobs,DevNetJobs,https://www.devnetjobs.org/,Development job board,Jobs; Consultancies; Internships,Global,Development; NGOs; Consulting,Manual/editorial,Medium,Daily,Long-running international development job board.
ideal-ist,Idealist,https://www.idealist.org/en/jobs,Nonprofit job board,Jobs; Internships; Volunteer opportunities,Global; US-heavy,Nonprofit; Social impact,Manual/editorial,Medium,Daily,Strong nonprofit and social impact roles.
un-careers,UN Careers,https://careers.un.org/,Official employer,Jobs; Internships,Global,United Nations,Official site/manual,High,Daily,Official UN Secretariat jobs.
undp-jobs,UNDP Jobs,https://jobs.undp.org/,Official employer,Jobs; Consultancies; Internships,Global,Development; Governance; Climate,Official site/manual,High,Daily,Official UNDP vacancies.
unicef-careers,UNICEF Careers,https://jobs.unicef.org/,Official employer,Jobs; Internships; Consultancies,Global,Children; Health; Education; Development,Official site/manual,High,Daily,Official UNICEF roles.
wfp-careers,WFP Careers,https://www.wfp.org/careers,Official employer,Jobs; Internships,Global,Food security; Humanitarian; Logistics,Official site/manual,High,Daily,Official WFP careers.
who-careers,WHO Careers,https://www.who.int/careers,Official employer,Jobs; Internships; Consultancies,Global,Health; Public health,Official site/manual,High,Daily,Official WHO roles.
fao-jobs,FAO Jobs,https://jobs.fao.org/,Official employer,Jobs; Internships; Consultancies,Global,Agriculture; Food security,Official site/manual,High,Daily,Official FAO vacancies.
iom-careers,IOM Careers,https://www.iom.int/careers,Official employer,Jobs; Internships; Consultancies,Global,Migration; Humanitarian,Official site/manual,High,Daily,Official IOM careers.
unhcr-careers,UNHCR Careers,https://www.unhcr.org/careers,Official employer,Jobs; Internships; Consultancies,Global,Refugees; Humanitarian,Official site/manual,High,Daily,Official UNHCR careers.
unesco-careers,UNESCO Careers,https://careers.unesco.org/,Official employer,Jobs; Internships; Consultancies,Global,Education; Culture; Science,Official site/manual,Medium,Daily,Official UNESCO vacancies.
ilo-jobs,ILO Jobs,https://jobs.ilo.org/,Official employer,Jobs; Internships; Consultancies,Global,Labour; Policy; Development,Official site/manual,Medium,Daily,Official ILO jobs.
world-bank-careers,World Bank Careers,https://www.worldbank.org/en/about/careers,Official employer,Jobs; Internships; Consultancies,Global,Development; Finance; Economics,Official site/manual,High,Daily,Official World Bank careers.
ifc-careers,IFC Careers,https://www.ifc.org/en/about/careers,Official employer,Jobs; Internships,Global,Private sector development; Finance,Official site/manual,Medium,Daily,Official IFC careers.
imf-careers,IMF Careers,https://www.imf.org/en/About/Recruitment,Official employer,Jobs; Internships,Global,Economics; Finance; Policy,Official site/manual,Medium,Weekly,Official IMF recruitment.
afdb-careers,African Development Bank Careers,https://www.afdb.org/en/about/careers,Official employer,Jobs; Internships; Consultancies,Africa; Global,Development; Finance,Official site/manual,High,Daily,Official AfDB careers.
adb-careers,Asian Development Bank Careers,https://www.adb.org/work-with-us/careers,Official employer,Jobs; Internships; Consultancies,Asia-Pacific; Global,Development; Finance,Official site/manual,Medium,Daily,Official ADB careers.
ebrd-careers,EBRD Careers,https://www.ebrd.com/careers.html,Official employer,Jobs; Internships,Europe; Central Asia; MENA,Development finance,Official site/manual,Medium,Weekly,Official EBRD careers.
iadb-careers,Inter-American Development Bank Careers,https://www.iadb.org/en/who-we-are/careers,Official employer,Jobs; Internships; Consultancies,Latin America; Caribbean; Global,Development; Finance,Official site/manual,Medium,Weekly,Official IDB careers.
oecd-careers,OECD Careers,https://www.oecd.org/careers/,Official employer,Jobs; Internships,Global,Policy; Economics; Development,Official site/manual,Medium,Weekly,Official OECD careers.
oxfam-jobs,Oxfam Jobs,https://jobs.oxfam.org.uk/,Official employer,Jobs; Internships; Consultancies,Global,Humanitarian; Development; Advocacy,Official site/manual,Medium,Daily,Official Oxfam roles.
save-the-children-jobs,Save the Children Careers,https://www.savethechildren.net/careers,Official employer,Jobs; Internships; Consultancies,Global,Children; Humanitarian; Development,Official site/manual,Medium,Daily,Official Save the Children careers.
irc-careers,International Rescue Committee Careers,https://careers.rescue.org/,Official employer,Jobs; Internships,Global,Humanitarian; Refugees; Health,Official site/manual,Medium,Daily,Official IRC roles.
mercy-corps-careers,Mercy Corps Careers,https://www.mercycorps.org/careers,Official employer,Jobs; Internships; Consultancies,Global,Humanitarian; Development,Official site/manual,Medium,Daily,Official Mercy Corps roles.
care-careers,CARE Careers,https://www.care.org/careers/,Official employer,Jobs; Internships; Consultancies,Global,Humanitarian; Development; Gender,Official site/manual,Medium,Daily,Official CARE jobs.
msf-jobs,MSF Jobs,https://www.msf.org/work-msf,Official employer,Jobs; Volunteer opportunities,Global,Health; Humanitarian,Official site/manual,Medium,Weekly,Official MSF opportunities.
icrc-jobs,ICRC Careers,https://www.icrc.org/en/careers,Official employer,Jobs; Internships,Global,Humanitarian; Protection,Official site/manual,Medium,Weekly,Official ICRC careers.
plan-international-jobs,Plan International Jobs,https://jobs.plan-international.org/,Official employer,Jobs; Internships; Consultancies,Global,Children; Gender; Development,Official site/manual,Medium,Daily,Official Plan International roles.
world-vision-careers,World Vision Careers,https://www.wvi.org/careers,Official employer,Jobs; Internships; Consultancies,Global,Children; Humanitarian; Development,Official site/manual,Medium,Daily,Official World Vision careers.
brightermonday,BrighterMonday,https://www.brightermonday.com/,Regional job board,Jobs; Internships,Africa markets,All sectors,Manual/editorial,Medium,Daily,Useful for East and West African markets.
fuzu,Fuzu,https://www.fuzu.com/,Regional job board,Jobs; Internships,Africa markets,All sectors,Manual/editorial,Medium,Daily,Strong East Africa coverage.
shortlist,Shortlist,https://www.shortlist.net/,Regional recruitment platform,Jobs,Africa; India,All sectors,Manual/editorial,Low,Weekly,Selective recruitment listings.
jobberman,Jobberman,https://www.jobberman.com/,Regional job board,Jobs; Internships,Nigeria; Ghana,All sectors,Manual/editorial,Medium,Daily,Large West African job board.
myjobmag,MyJobMag,https://www.myjobmag.com/,Regional job board,Jobs; Internships,Africa markets,All sectors,Manual/editorial,Medium,Daily,Broad Africa job listings.
ngojobsinafrica,NGO Jobs in Africa,https://www.ngojobsinafrica.com/,NGO job board,Jobs; Consultancies,Africa,NGO; Development; Humanitarian,Manual/editorial,Medium,Daily,Good Africa NGO source.
usajobs,USAJOBS,https://www.usajobs.gov/,Government job board,Jobs; Internships,United States; overseas federal posts,Government; Public sector,API,High,Daily,Official US federal jobs; API available.
canada-job-bank,Canada Job Bank,https://www.jobbank.gc.ca/,Government job board,Jobs,Canada,All sectors,API/RSS/manual,High,Daily,Official Canadian job bank.
eures,EURES,https://eures.europa.eu/,Government/regional job board,Jobs,European Union/EEA,All sectors,Portal/API where available,Medium,Daily,European jobs mobility portal.
epso,EU Careers / EPSO,https://eu-careers.europa.eu/,Government/institution careers,Jobs; Internships,European Union,Public sector; Policy,Official site/manual,Medium,Weekly,EU institution careers.
uk-civil-service-jobs,UK Civil Service Jobs,https://www.civilservicejobs.service.gov.uk/,Government job board,Jobs; Internships,United Kingdom,Government; Public sector,Manual/editorial,Medium,Daily,Official UK Civil Service jobs.
australia-apsjobs,APS Jobs,https://www.apsjobs.gov.au/,Government job board,Jobs; Internships,Australia,Government; Public sector,Manual/editorial,Medium,Daily,Official Australian Public Service jobs.
newzealand-govt-jobs,New Zealand Government Jobs,https://jobs.govt.nz/,Government job board,Jobs,New Zealand,Government; Public sector,Manual/editorial,Medium,Daily,Official NZ government jobs.
singapore-careersgov,Careers@Gov Singapore,https://www.careers.gov.sg/,Government job board,Jobs; Internships,Singapore,Government; Public sector,Manual/editorial,Medium,Daily,Official Singapore government jobs.
south-africa-dpsa,South Africa DPSA Vacancies,https://www.dpsa.gov.za/newsroom/psvc/,Government vacancies,Jobs,South Africa,Government; Public sector,Manual/PDF parsing,Medium,Weekly,Official public service vacancy circulars.
kenya-psc,Kenya Public Service Commission,https://www.publicservice.go.ke/,Government vacancies,Jobs; Internships,Kenya,Government; Public sector,Manual/editorial,Medium,Weekly,Official Kenya PSC source.
uganda-psc,Uganda Public Service Commission,https://psc.go.ug/,Government vacancies,Jobs,Uganda,Government; Public sector,Manual/editorial,Medium,Weekly,Official Uganda PSC source.
india-ncs,India National Career Service,https://www.ncs.gov.in/,Government job portal,Jobs; Internships,India,All sectors,Manual/editorial,Medium,Daily,Official India career service.
ungm,UN Global Marketplace,https://www.ungm.org/Public/Notice,Tender portal,Tenders / Consultancies,Global,UN procurement; All sectors,Search/manual/API where available,High,Daily,Core UN tender source.
world-bank-procurement,World Bank Procurement Notices,https://projects.worldbank.org/en/projects-operations/procurement,Tender portal,Tenders / Consultancies,Global,Development procurement,Manual/editorial,High,Daily,World Bank procurement opportunities.
sam-gov,SAM.gov Contract Opportunities,https://sam.gov/content/opportunities,Tender portal,Tenders / Consultancies,United States; global US-funded work,Government procurement,API/manual,Medium,Daily,US federal contract opportunities.
ted-europa,Tenders Electronic Daily,https://ted.europa.eu/,Tender portal,Tenders / Consultancies,Europe,Public procurement; All sectors,API/RSS/manual,Medium,Daily,EU public procurement.
dgmarket,dgMarket,https://www.dgmarket.com/,Tender aggregator,Tenders / Consultancies,Global,Public procurement; Development,Manual/editorial,Low,Weekly,Global procurement notices; account limitations likely.
afdb-procurement,AfDB Procurement Notices,https://www.afdb.org/en/projects-and-operations/procurement,Tender portal,Tenders / Consultancies,Africa,Development procurement,Manual/editorial,Medium,Daily,AfDB procurement opportunities.
adb-procurement,ADB Procurement Notices,https://www.adb.org/projects/tenders,Tender portal,Tenders / Consultancies,Asia-Pacific,Development procurement,Manual/editorial,Medium,Daily,ADB tenders and consulting opportunities.
unitar-events,UNITAR Events and Training,https://unitar.org/events,Training provider,Training / short courses,Global; Online,UN training; Governance; Peace; Climate,Manual/editorial,Medium,Weekly,Official UNITAR training/events.
uncclearn,UN CC:e-Learn,https://unccelearn.org/,Training provider,Training / short courses,Global; Online,Climate; Sustainability,Manual/editorial,Medium,Weekly,Free climate learning courses.
world-bank-olc,World Bank Open Learning Campus,https://olc.worldbank.org/,Training provider,Training / short courses,Global; Online,Development; Economics; Policy,Manual/editorial,Medium,Weekly,World Bank learning courses.
edx-career-courses,edX,https://www.edx.org/,Training platform,Training / short courses,Global; Online,All sectors,Manual/editorial,Low,Weekly,Use only career-relevant free/low-cost courses.
coursera-career-courses,Coursera,https://www.coursera.org/,Training platform,Training / short courses,Global; Online,All sectors,Manual/editorial,Low,Weekly,Use selectively for professional short courses.
all-countries-indeed-worldwide-global-all-sector-job-site,Indeed Worldwide,https://www.indeed.com/worldwide,Global all-sector job site,General jobs across sectors,ALL COUNTRIES,Global all-sector job site,Official site/manual review,High,Weekly,Section: Global and regional backbone sites. Verification: Direct global platform. Use country-specific Indeed sites where available. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-jobrapido-global-all-sector-job-site,Jobrapido,https://www.jobrapido.com/,Global all-sector job site,Aggregated job search,ALL COUNTRIES,Global all-sector job site,API/manual review,High,Weekly,Section: Global and regional backbone sites. Verification: Direct global platform. Use as a supplementary search source. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-glassdoor-global-all-sector-job-site,Glassdoor,https://www.glassdoor.com/,Global all-sector job site,"Jobs, salaries and employer reviews",ALL COUNTRIES,Global all-sector job site,Official site/manual review,High,Weekly,Section: Global and regional backbone sites. Verification: Direct global platform. Useful for employer due diligence. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-impactpool-international-development-ngo-un,Impactpool,https://www.impactpool.org/,International development / NGO / UN,"UN, EU, international organisations, NGOs, consultants, internships",ALL COUNTRIES,International development / NGO / UN,Official site/manual review,High,Weekly,Section: Global and regional backbone sites. Verification: Direct global platform. Strong for multilateral and international organisations. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-opportunity-desk-international-development-ngo-un,Opportunity Desk,https://opportunitydesk.org/,International development / NGO / UN,"Jobs, internships, grants, fellowships, scholarships and global youth opportunities",ALL COUNTRIES,International development / NGO / UN,Official site/manual review,High,Weekly,Section: Global and regional backbone sites. Verification: Opportunity directory. Good for fellowships and youth opportunities. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-opportunities-for-africans-international-development-ngo-un,Opportunities for Africans,https://www.opportunitiesforafricans.com/,International development / NGO / UN,"Scholarships, fellowships, internships, trainings, calls and jobs",ALL COUNTRIES,International development / NGO / UN,Official site/manual review,High,Weekly,Section: Global and regional backbone sites. Verification: Opportunity directory. Good for African applicants. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-global-south-opportunities-international-development-ngo-un,Global South Opportunities,https://globalsouthopportunities.com/,International development / NGO / UN,"Fellowships, internships, career opportunities and scholarships",ALL COUNTRIES,International development / NGO / UN,Official site/manual review,High,Weekly,Section: Global and regional backbone sites. Verification: Opportunity directory. Good for Global South-focused opportunities. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-fundsforngos-international-development-ngo-un,FundsforNGOs,https://www2.fundsforngos.org/,International development / NGO / UN,"Grants, calls for proposals and civil society funding",ALL COUNTRIES,International development / NGO / UN,Official site/manual review,High,Weekly,Section: Global and regional backbone sites. Verification: Funding/calls directory. Funding-focused rather than jobs-only. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-remotive-remote-and-freelance,Remotive,https://remotive.com/,Remote and freelance,Curated remote jobs,ALL COUNTRIES,Remote and freelance,Official site/manual review,High,Weekly,"Section: Global and regional backbone sites. Verification: Direct platform. Remote tech, marketing, ops and support. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
all-countries-working-nomads-remote-and-freelance,Working Nomads,https://www.workingnomads.com/jobs,Remote and freelance,Curated remote roles,ALL COUNTRIES,Remote and freelance,Official site/manual review,High,Weekly,Section: Global and regional backbone sites. Verification: Direct platform. Remote digital roles. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-nodesk-remote-and-freelance,NoDesk,https://nodesk.co/remote-jobs/,Remote and freelance,Remote jobs and remote-first companies,ALL COUNTRIES,Remote and freelance,Official site/manual review,High,Weekly,Section: Global and regional backbone sites. Verification: Direct platform. Remote-first employers. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-turing-remote-and-freelance,Turing,https://www.turing.com/jobs,Remote and freelance,Remote software and AI roles,ALL COUNTRIES,Remote and freelance,Official site/manual review,High,Weekly,Section: Global and regional backbone sites. Verification: Direct platform. Developer/AI roles. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-upwork-remote-and-freelance,Upwork,https://www.upwork.com/,Remote and freelance,Freelance consulting and short-term contracts,ALL COUNTRIES,Remote and freelance,Manual/editorial review,High,Weekly,Section: Global and regional backbone sites. Verification: Marketplace. Useful for consulting gigs. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-fiverr-remote-and-freelance,Fiverr,https://www.fiverr.com/,Remote and freelance,Freelance services and gigs,ALL COUNTRIES,Remote and freelance,Manual/editorial review,High,Weekly,Section: Global and regional backbone sites. Verification: Marketplace. Service-based freelancing. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-freelancer-com-remote-and-freelance,Freelancer.com,https://www.freelancer.com/,Remote and freelance,Freelance projects across sectors,ALL COUNTRIES,Remote and freelance,Manual/editorial review,High,Weekly,Section: Global and regional backbone sites. Verification: Marketplace. Project-based freelance work. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-guru-remote-and-freelance,Guru,https://www.guru.com/,Remote and freelance,Freelance and consulting projects,ALL COUNTRIES,Remote and freelance,Manual/editorial review,High,Weekly,Section: Global and regional backbone sites. Verification: Marketplace. Alternative freelance platform. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-eures-regional-europe,EURES,https://europa.eu/eures/portal/,Regional Europe,EU/EEA and Switzerland public employment portal,ALL COUNTRIES,Regional Europe,Official site/manual review,High,Weekly,Section: Global and regional backbone sites. Verification: Official regional platform. European public employment network. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-european-job-days-regional-europe,European Job Days,https://europeanjobdays.eu/,Regional Europe,Cross-border recruitment events in Europe,ALL COUNTRIES,Regional Europe,Official site/manual review,High,Weekly,Section: Global and regional backbone sites. Verification: Official regional platform. Recruitment events and advice. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-bayt-regional-mena,Bayt,https://www.bayt.com/,Regional MENA,Professional and general jobs in MENA/Gulf,ALL COUNTRIES,Regional MENA,Manual/editorial review,High,Weekly,Section: Global and regional backbone sites. Verification: Regional platform. Strong in Middle East and North Africa. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-gulftalent-regional-mena,GulfTalent,https://www.gulftalent.com/,Regional MENA,Professional jobs in Gulf countries,ALL COUNTRIES,Regional MENA,Manual/editorial review,High,Weekly,Section: Global and regional backbone sites. Verification: Regional platform. Strong for GCC professional jobs. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-naukrigulf-regional-mena,Naukrigulf,https://www.naukrigulf.com/,Regional MENA,Gulf jobs across sectors,ALL COUNTRIES,Regional MENA,Manual/editorial review,High,Weekly,Section: Global and regional backbone sites. Verification: Regional platform. Strong for Gulf jobs. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-computrabajo-regional-latin-america,Computrabajo,https://www.computrabajo.com/,Regional Latin America,Jobs across Latin America,ALL COUNTRIES,Regional Latin America,Manual/editorial review,High,Weekly,Section: Global and regional backbone sites. Verification: Regional platform. Country-specific sites available. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-bumeran-regional-latin-america,Bumeran,https://www.bumeran.com/,Regional Latin America,Jobs across Latin America,ALL COUNTRIES,Regional Latin America,Manual/editorial review,High,Weekly,Section: Global and regional backbone sites. Verification: Regional platform. Strong in selected Latin American countries. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-seek-regional-asia-pacific,SEEK,https://www.seek.com/,Regional Asia-Pacific,"Jobs in Australia, New Zealand and Asia-Pacific",ALL COUNTRIES,Regional Asia-Pacific,Manual/editorial review,High,Weekly,Section: Global and regional backbone sites. Verification: Regional platform. Strong in Australia/NZ and selected APAC markets. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-jobstreet-regional-asia,JobStreet,https://www.jobstreet.com/,Regional Asia,Jobs in Southeast Asia,ALL COUNTRIES,Regional Asia,Manual/editorial review,High,Weekly,"Section: Global and regional backbone sites. Verification: Regional platform. Strong in Malaysia, Singapore, Philippines, Indonesia. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
all-countries-jobsdb-regional-asia,JobsDB,https://www.jobsdb.com/,Regional Asia,Jobs in Hong Kong and Thailand,ALL COUNTRIES,Regional Asia,Manual/editorial review,High,Weekly,Section: Global and regional backbone sites. Verification: Regional platform. Country-specific sites available. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
all-countries-naukri-regional-asia,Naukri,https://www.naukri.com/,Regional Asia,Jobs in India,ALL COUNTRIES,Regional Asia,Manual/editorial review,High,Weekly,Section: Global and regional backbone sites. Verification: Country platform. Strong India job board. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx.
afghanistan-afghanistan-public-service-commission-civil-service-commission-civil-service-a,Afghanistan Public Service Commission / Civil Service Commission / Civil Service Agency,https://www.google.com/search?q=%22Afghanistan%22+%28%22Public+Service+Commission%22+OR+%22Civil+Service+Commission%22+OR+%22Civil+Service%22+OR+%22Public+Service%22%29+%28jobs+OR+vacancies+OR+recruitment%29,Public service / civil service recruitment,"Government jobs, civil service jobs, public-sector vacancies",Afghanistan,Public service / civil service recruitment,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Afghanistan"" (""Public Service Commission"" OR ""Civil Service Commission"" OR ""Civil Service"" OR ""Public Service"") (jobs OR vacancies OR recruitment). Find the official government/civil service recruitment source; the exact title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
afghanistan-afghanistan-ministry-responsible-for-labour-employment-manpower-social-protect,"Afghanistan ministry responsible for labour, employment, manpower, social protection or workforce",https://www.google.com/search?q=%22Afghanistan%22+%28%22Ministry+of+Labour%22+OR+%22Ministry+of+Labor%22+OR+%22Ministry+of+Employment%22+OR+%22Ministry+of+Manpower%22+OR+%22Department+of+Labour%22%29+%28jobs+OR+vacancies+OR+employment+service+OR+job+portal%29,Ministry of labour / employment,"Labour-market programmes, public employment service, official job portal, licensed recruitment information",Afghanistan,Ministry of labour / employment,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Afghanistan"" (""Ministry of Labour"" OR ""Ministry of Labor"" OR ""Ministry of Employment"" OR ""Ministry of Manpower"" OR ""Department of Labour"") (jobs OR vacancies OR employment service OR job portal). Find the ministry or department responsible for labour/employment; title varies by country. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
afghanistan-afghanistan-national-universities-and-public-research-institutions-career-page,Afghanistan national universities and public research institutions career pages,https://www.google.com/search?q=%22Afghanistan%22+%28%22national+university%22+OR+university+OR+%22research+institute%22%29+%28careers+OR+vacancies+OR+jobs+OR+opportunities%29,National universities and public research institutions,"Academic jobs, research assistantships, project jobs, grants/fellowships, internships",Afghanistan,National universities and public research institutions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Afghanistan"" (""national university"" OR university OR ""research institute"") (careers OR vacancies OR jobs OR opportunities). Start with the largest public/national universities and research institutes. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
afghanistan-embassies-high-commissions-and-foreign-missions-in-afghanistan-embassies-and-h,"Embassies, high commissions and foreign missions in Afghanistan",https://www.google.com/search?q=%22Afghanistan%22+%28embassy+OR+%22high+commission%22+OR+%22foreign+mission%22%29+%28jobs+OR+vacancies+OR+careers%29,Embassies and high commissions,"Embassy jobs, programme jobs, visa/local staff roles, development office vacancies",Afghanistan,Embassies and high commissions,Search link/manual review,Medium,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""Afghanistan"" (embassy OR ""high commission"" OR ""foreign mission"") (jobs OR vacancies OR careers). Check embassy/high commission websites and official social media pages. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
afghanistan-united-nations-in-afghanistan-un-country-team-un-agency-country-offices-un-cou,United Nations in Afghanistan / UN Country Team / UN agency country offices,https://www.google.com/search?q=%22United+Nations+in+Afghanistan%22+OR+%22UN+Country+Team+Afghanistan%22+jobs+vacancies+consultancy,UN country team and UN agencies,"UN national officer roles, consultancies, internships, project jobs",Afghanistan,UN country team and UN agencies,Search link/manual review,High,Weekly,"Section: Part 5 - country institution expansion. Verification: Country-specific search target. Recommended query: ""United Nations in Afghanistan"" OR ""UN Country Team Afghanistan"" jobs vacancies consultancy. Use UNSDG, UN country websites, UNDP, UNICEF, WHO, WFP, FAO, IOM, UNFPA and UNOPS country offices. Imported from global_country_jobs_institutions_directory_final_deduplicated.xlsx."
